saID,GM_Object,Location,BSL_Type
BSL_095,"MultiLineString ((130.82111100000008719 -8.34166699999997263, 130.88888900000006288 -8.3074999999999477))",Timor Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_096,"MultiLineString ((130.81305600000007416 -8.34472199999993336, 130.82111100000008719 -8.34166699999997263))",Timor Sea,Common Baseline (Garis Pangkal Biasa)
BSL_097,"MultiLineString ((130.75583300000005238 -8.34833299999996825, 130.81305600000007416 -8.34472199999993336))",Laut Timor,Common Baseline (Garis Pangkal Biasa)
BSL_098,"MultiLineString ((129.82555600000011964 -8.22472199999992881, 130.75583300000005238 -8.34833299999996825))",Laut Timor,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_099,"MultiLineString ((128.51444400000002588 -8.35249999999996362, 129.82555600000011964 -8.22472199999992881))",Laut Timor,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_100,"MultiLineString ((127.64277777800009517 -8.23888888899995209, 128.51444400000002588 -8.35249999999996362))",Timor Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_101,"MultiLineString ((127.6344444440001098 -8.23805555599994932, 127.64277777800009517 -8.23888888899995209))",Timor Sea,Common Baseline (Garis Pangkal Biasa)
BSL_102,"MultiLineString ((127.14777777800009062 -8.10194444499995825, 127.6344444440001098 -8.23805555599994932))",Timor Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_103,"MultiLineString ((126.46638888900008624 -7.97527777699997387, 127.14777777800009062 -8.10194444499995825))",Wetar Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_104,"MultiLineString ((125.73500000000001364 -8.06222222199994576, 126.46638888900008624 -7.97527777699997387))",Wetar Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_105,"MultiLineString ((125.14027777700005117 -8.31777777799993601, 125.73500000000001364 -8.06222222199994576))",Wetar Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_106,"MultiLineString ((125.06027777800011336 -8.35722222199996168, 125.06353062900006989 -8.35645120699996369, 125.07421822600008454 -8.35062309999995023, 125.08558132200005275 -8.34672863299994106, 125.09634987900005854 -8.34413834599996562, 125.10885207200010427 -8.34234826699997711, 125.12083514600010403 -8.33919136999998045, 125.1254726560000563 -8.33642290999995339, 125.13146418300004825 -8.33059480299993993, 125.13656509200006894 -8.32420005399995944, 125.14027777700005117 -8.31777777799993601))",Ombai Sea,Common Baseline (Garis Pangkal Biasa)
BSL_107,"MultiLineString ((124.78611111100008202 -8.39944444399992562, 125.06027777800011336 -8.35722222199996168))",Ombai Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_108,"MultiLineString ((124.94916666700009955 -8.95722222199992757, 124.78611111100008202 -8.39944444399992562))",Ombai Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_109,"MultiLineString ((125.08888888900003167 -9.46027777799997693, 124.99416700000006131 -9.63583299999993415))",Timor Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_110,"MultiLineString ((124.99416700000006131 -9.63583299999993415, 124.75000000000011369 -9.88277799999997342))",Timor Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_111,"MultiLineString ((124.75000000000011369 -9.88277799999997342, 124.48305600000003324 -10.12055599999996502))",Timor Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_112,"MultiLineString ((124.48305600000003324 -10.12055599999996502, 124.39555600000005597 -10.17194399999993948))",Timor Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
